cycle,test_group,test_type,prosthesis,pair,metric,pvalue,pvalue_holm,pvalue_bonferroni,cohens_d
stance,g1,mannwhitneyu,Mech-none,(A-A)-(Same),total_var,0.35811847614764925,0.35811847614764925,1.0,0.524268825822989
stance,g1,mannwhitneyu,Mech-none,(A-S)-(Contra),angle_var,3.0584343043925483e-06,1.2890915111041308e-05,1.8350605826355288e-05,-2.89540326840495
stance,g1,mannwhitneyu,Mech-none,(A-S)-(Contra),hangle,0.016552780261048502,0.033105560522097004,0.099316681566291,-0.7692542034480981
stance,g1,mannwhitneyu,Mech-none,(A-S)-(Contra),htoe,2.148485851840218e-06,1.2890915111041308e-05,1.2890915111041308e-05,6.781637377135442
stance,g1,mannwhitneyu,Mech-none,(A-S)-(Contra),inter_dependence,2.148485851840218e-06,1.2890915111041308e-05,1.2890915111041308e-05,4.098822837795896
stance,g1,mannwhitneyu,Mech-none,(A-S)-(Contra),inter_dependence_prop,3.0584343043925483e-06,1.2890915111041308e-05,1.8350605826355288e-05,3.585455112087255
stance,g1,mannwhitneyu,Mech-none,(A-S)-(Contra),mi,2.148485851840218e-06,1.2890915111041308e-05,1.2890915111041308e-05,4.098822837795896
stance,g1,mannwhitneyu,Mech-none,(A-S)-(Contra),toe_var,2.148485851840218e-06,1.2890915111041308e-05,1.2890915111041308e-05,4.446903955960389
stance,g1,mannwhitneyu,Mech-none,(A-S)-(Contra),total_var,9.226991745831666e-05,0.0003690796698332666,0.0005536195047499,2.22294815283164
stance,g1,wilcoxon,Mech,(A-S)-(S-A),angle_var,0.0009765625,0.001953125,0.005859375,2.884544625849478
stance,g1,wilcoxon,Mech,(A-S)-(S-A),hangle,0.0009765625,0.00390625,0.005859375,3.497608490677145
stance,g1,wilcoxon,Mech,(A-S)-(S-A),htoe,0.00927734375,0.00927734375,0.0556640625,1.1531476180605467
stance,g1,wilcoxon,Mech,(A-S)-(S-A),inter_dependence,0.2333984375,0.2333984375,1.0,0.3690421201381725
stance,g1,wilcoxon,Mech,(A-S)-(S-A),inter_dependence_prop,0.01611328125,0.01611328125,0.0966796875,-0.7345696897642904
stance,g1,wilcoxon,Mech,(A-S)-(S-A),mi,0.2333984375,0.2333984375,1.0,0.3690421201381725
stance,g1,wilcoxon,Mech,(A-S)-(S-A),toe_var,0.0048828125,0.009765625,0.029296875,0.957970647081097
stance,g1,wilcoxon,Mech,(A-S)-(S-A),total_var,0.00048828125,0.00146484375,0.0029296875,2.8376777189040645
stance,g1,mannwhitneyu,Mech-none,(S-A)-(Contra),angle_var,2.148485851840218e-06,1.2890915111041308e-05,1.2890915111041308e-05,-7.473527985515656
stance,g1,mannwhitneyu,Mech-none,(S-A)-(Contra),hangle,2.148485851840218e-06,1.2890915111041308e-05,1.2890915111041308e-05,-6.51308954026614
stance,g1,mannwhitneyu,Mech-none,(S-A)-(Contra),htoe,2.148485851840218e-06,1.2890915111041308e-05,1.2890915111041308e-05,3.855127372156986
stance,g1,mannwhitneyu,Mech-none,(S-A)-(Contra),inter_dependence,2.148485851840218e-06,1.2890915111041308e-05,1.2890915111041308e-05,4.004453136143885
stance,g1,mannwhitneyu,Mech-none,(S-A)-(Contra),inter_dependence_prop,2.148485851840218e-06,1.2890915111041308e-05,1.2890915111041308e-05,3.8775888603020583
stance,g1,mannwhitneyu,Mech-none,(S-A)-(Contra),mi,2.148485851840218e-06,1.2890915111041308e-05,1.2890915111041308e-05,4.004453136143885
stance,g1,mannwhitneyu,Mech-none,(S-A)-(Contra),toe_var,5.8649119095416946e-05,0.00017594735728625085,0.0003518947145725017,2.402508152721208
stance,g1,mannwhitneyu,Mech-none,(S-A)-(Contra),total_var,2.688448059940263e-05,0.00016130688359641577,0.00016130688359641577,-2.1201689924932285
stance,g1,mannwhitneyu,Mech-none,(S-S)-(Same),angle_var,8.561832062637975e-06,2.5685496187913926e-05,5.137099237582785e-05,-2.837580919631013
stance,g1,mannwhitneyu,Mech-none,(S-S)-(Same),hangle,0.002619960133175005,0.007859880399525015,0.01571976079905003,-1.4358659155738414
stance,g1,mannwhitneyu,Mech-none,(S-S)-(Same),htoe,2.148485851840218e-06,1.2890915111041308e-05,1.2890915111041308e-05,4.698427726037184
stance,g1,mannwhitneyu,Mech-none,(S-S)-(Same),inter_dependence,5.146056052285799e-06,1.5438168156857396e-05,3.087633631371479e-05,3.4950703840043436
stance,g1,mannwhitneyu,Mech-none,(S-S)-(Same),inter_dependence_prop,7.234548344887614e-06,2.170364503466284e-05,4.340729006932568e-05,2.9950041550481825
stance,g1,mannwhitneyu,Mech-none,(S-S)-(Same),mi,5.146056052285799e-06,1.5438168156857396e-05,3.087633631371479e-05,3.4950703840043436
stance,g1,mannwhitneyu,Mech-none,(S-S)-(Same),toe_var,4.332038711823107e-06,1.732815484729243e-05,2.5992232270938646e-05,3.2968884772707194
stance,g1,mannwhitneyu,Mech-none,(S-S)-(Same),total_var,6.829649710561603e-05,0.00034148248552808014,0.00040977898263369616,1.8583578919318697
stance,g2,wilcoxon,Ech,(A-A)-(S-S),angle_var,0.00244140625,0.00244140625,0.0146484375,-1.0438559715155944
stance,g2,wilcoxon,Ech,(A-A)-(S-S),hangle,0.67724609375,0.67724609375,1.0,-0.3490701230844505
stance,g2,wilcoxon,Ech,(A-A)-(S-S),htoe,0.01611328125,0.0322265625,0.0966796875,0.778383974727583
stance,g2,wilcoxon,Ech,(A-A)-(S-S),inter_dependence,0.0009765625,0.001953125,0.005859375,1.3307620974027343
stance,g2,wilcoxon,Ech,(A-A)-(S-S),inter_dependence_prop,0.0009765625,0.001953125,0.005859375,1.2706657476804077
stance,g2,wilcoxon,Ech,(A-A)-(S-S),mi,0.0009765625,0.001953125,0.005859375,1.3307620974027343
stance,g2,wilcoxon,Ech,(A-A)-(S-S),toe_var,0.67724609375,0.67724609375,1.0,-0.020388420695420024
stance,g2,wilcoxon,Ech,(A-A)-(S-S),total_var,0.5185546875,0.5185546875,1.0,-0.221450458959637
stance,g2,mannwhitneyu,Ech-none,(A-A)-(Same),angle_var,2.148485851840218e-06,1.2890915111041308e-05,1.2890915111041308e-05,-4.293151193955586
stance,g2,mannwhitneyu,Ech-none,(A-A)-(Same),hangle,2.291565362071318e-05,0.0001145782681035659,0.00013749392172427907,-2.2570434037296194
stance,g2,mannwhitneyu,Ech-none,(A-A)-(Same),htoe,2.148485851840218e-06,1.2890915111041308e-05,1.2890915111041308e-05,6.754140734669694
stance,g2,mannwhitneyu,Ech-none,(A-A)-(Same),inter_dependence,2.5650016061046447e-06,1.2890915111041308e-05,1.5390009636627867e-05,4.248473710118016
stance,g2,mannwhitneyu,Ech-none,(A-A)-(Same),inter_dependence_prop,3.0584343043925483e-06,1.5390009636627867e-05,1.8350605826355288e-05,3.6935020506616962
stance,g2,mannwhitneyu,Ech-none,(A-A)-(Same),mi,2.5650016061046447e-06,1.2890915111041308e-05,1.5390009636627867e-05,4.248473710118016
stance,g2,mannwhitneyu,Ech-none,(A-A)-(Same),toe_var,5.146056052285799e-06,2.5730280261428996e-05,3.087633631371479e-05,3.3419332233586685
stance,g2,mannwhitneyu,Ech-none,(A-A)-(Same),total_var,0.0012581606016591812,0.00390625,0.007548963609955087,1.342280416962332
stance,g2,mannwhitneyu,Ech-none,(A-S)-(Contra),angle_var,1.0119993868287828e-05,4.0479975473151314e-05,6.071996320972697e-05,-2.1529743440989075
stance,g2,mannwhitneyu,Ech-none,(A-S)-(Contra),hangle,0.18838602104430702,0.37677204208861403,1.0,-0.5909711354096386
stance,g2,mannwhitneyu,Ech-none,(A-S)-(Contra),htoe,2.148485851840218e-06,1.2890915111041308e-05,1.2890915111041308e-05,6.035305787538341
stance,g2,mannwhitneyu,Ech-none,(A-S)-(Contra),inter_dependence,2.148485851840218e-06,1.2890915111041308e-05,1.2890915111041308e-05,4.286354769611598
stance,g2,mannwhitneyu,Ech-none,(A-S)-(Contra),inter_dependence_prop,3.0584343043925483e-06,1.5390009636627867e-05,1.8350605826355288e-05,3.3715608443902845
stance,g2,mannwhitneyu,Ech-none,(A-S)-(Contra),mi,2.148485851840218e-06,1.2890915111041308e-05,1.2890915111041308e-05,4.286354769611598
stance,g2,mannwhitneyu,Ech-none,(A-S)-(Contra),toe_var,2.148485851840218e-06,1.2890915111041308e-05,1.2890915111041308e-05,4.237527581267857
